epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,205.707,0.91851,0.62377,1.26872,0.26405,0.27322,0.2847,0.22442,1.39078,3.12924,1.53095,0.000935741,0.000935741,0.000935741
43,213.751,0.86556,0.56727,1.25105,0.28078,0.26776,0.29225,0.23214,1.33023,3.0103,1.48441,0.000932642,0.000932642,0.000932642
44,220.073,0.80116,0.5301,1.2213,0.28731,0.27869,0.29267,0.23102,1.36412,2.94374,1.48377,0.000929476,0.000929476,0.000929476
45,225.133,0.83989,0.53867,1.20708,0.29526,0.27322,0.29365,0.23441,1.34943,2.95329,1.48172,0.000926242,0.000926242,0.000926242
46,237.364,0.84021,0.55373,1.20329,0.30274,0.27322,0.28999,0.20715,1.46217,3.19113,1.60483,0.000922942,0.000922942,0.000922942
47,241.06,0.85217,0.56478,1.28354,0.31879,0.27322,0.28448,0.20447,1.50353,3.51366,1.66475,0.000919576,0.000919576,0.000919576
48,244.764,0.85801,0.57079,1.18072,0.27629,0.27322,0.27771,0.20303,1.69368,3.87932,1.87682,0.000916145,0.000916145,0.000916145
49,254.023,0.86994,0.53626,1.22472,0.28082,0.27322,0.27998,0.2066,1.7803,3.67417,1.93015,0.000912649,0.000912649,0.000912649
50,257.732,0.82431,0.55348,1.19926,0.31922,0.26776,0.28773,0.22441,1.70096,3.1053,1.77446,0.000909088,0.000909088,0.000909088
51,261.34,0.8164,0.54688,1.24254,0.32023,0.26716,0.28673,0.20904,1.78085,3.09347,1.80029,0.000905463,0.000905463,0.000905463
52,265.918,0.85562,0.54022,1.21082,0.30811,0.26702,0.2835,0.19915,1.91305,3.61799,1.92022,0.000901776,0.000901776,0.000901776
53,271.732,0.8949,0.54785,1.24646,0.30839,0.27322,0.28234,0.19514,1.91021,3.73067,1.93911,0.000898025,0.000898025,0.000898025
54,275.584,0.81737,0.49911,1.21863,0.27472,0.27322,0.27909,0.19536,1.74745,3.71931,1.79537,0.000894213,0.000894213,0.000894213
55,280.778,0.90524,0.57663,1.2745,0.26636,0.27869,0.27791,0.20154,1.74074,3.86323,1.79833,0.000890339,0.000890339,0.000890339
56,284.776,0.85964,0.52249,1.25062,0.25213,0.27322,0.25931,0.18833,1.80786,3.95315,1.88376,0.000886404,0.000886404,0.000886404
