epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2959,0.97464,1.87672,1.2913,0.84459,0.74126,0.90412,0.60762,0.99336,1.41444,1.35543,0.000325203,0.000325203,0.0678049
2,62.2206,0.94625,0.82557,1.22953,0.666,0.67922,0.70767,0.49556,1.09701,1.6258,1.55798,0.000658511,0.000658511,0.0348049
3,80.326,0.91675,0.74636,1.17399,0.74916,0.56763,0.68879,0.48289,1.02548,1.99249,1.46125,0.000991715,0.000991715,0.00180472
4,98.1475,0.90764,0.73506,1.19946,0.63197,0.78854,0.80895,0.52372,1.22738,1.70619,1.56065,0.000999648,0.000999648,0.000999648
5,116.078,0.86885,0.69843,1.16425,0.71456,0.80585,0.8184,0.61814,0.86772,1.71834,1.2238,0.000999375,0.000999375,0.000999375
6,137.383,0.88749,0.7281,1.18301,0.54342,0.7981,0.88531,0.6445,0.94825,2.47389,1.25009,0.000999023,0.000999023,0.000999023
7,158.848,0.86259,0.65352,1.16732,0.90445,0.91437,0.95711,0.71752,0.90199,0.83754,1.23486,0.000998594,0.000998594,0.000998594
8,181.233,0.85948,0.66312,1.15998,0.76,0.9366,0.94794,0.71197,0.89093,1.07378,1.21513,0.000998086,0.000998086,0.000998086
9,199.791,0.87187,0.66237,1.16876,0.9199,0.85914,0.94687,0.68813,1.01507,0.85883,1.29171,0.000997501,0.000997501,0.000997501
10,218.302,0.87497,0.61996,1.15794,0.86028,0.93536,0.96429,0.72354,0.88709,0.72928,1.17378,0.000996838,0.000996838,0.000996838
11,238.647,0.83887,0.61632,1.14337,0.96689,0.92291,0.99031,0.77393,0.81862,0.5406,1.1193,0.000996097,0.000996097,0.000996097
12,260.342,0.81677,0.55895,1.13344,0.91538,0.94816,0.98451,0.74638,0.91115,0.5202,1.16245,0.000995278,0.000995278,0.000995278
13,278.83,0.86274,0.60756,1.15648,0.93596,0.95338,0.96475,0.70094,1.03021,0.66066,1.22302,0.000994383,0.000994383,0.000994383
14,296.72,0.835,0.57986,1.15117,0.9482,0.97844,0.98719,0.7601,0.89725,0.53563,1.15516,0.00099341,0.00099341,0.00099341
15,315.941,0.81975,0.55144,1.13116,0.94459,0.98907,0.99041,0.7753,0.86869,0.47115,1.11526,0.000992359,0.000992359,0.000992359
16,336.83,0.82937,0.56647,1.12726,0.96375,0.95774,0.98955,0.76559,0.7996,0.45618,1.10519,0.000991232,0.000991232,0.000991232
17,355.279,0.78425,0.51751,1.11185,0.95658,0.99074,0.98859,0.76492,0.84418,0.46594,1.1202,0.000990028,0.000990028,0.000990028
18,373.415,0.79568,0.55266,1.11332,0.95942,0.99955,0.99468,0.7853,0.83969,0.45213,1.12675,0.000988748,0.000988748,0.000988748
19,394.839,0.78485,0.53164,1.12204,0.97247,0.98681,0.98658,0.78609,0.7456,0.44397,1.0576,0.000987391,0.000987391,0.000987391
20,415.489,0.79268,0.52752,1.11098,0.96762,0.98751,0.9913,0.79372,0.81855,0.43874,1.08861,0.000985958,0.000985958,0.000985958
21,436.667,0.76909,0.51208,1.09593,0.97663,0.99074,0.99407,0.80319,0.76598,0.42307,1.08228,0.000984449,0.000984449,0.000984449
22,457.867,0.81516,0.54426,1.13739,0.96745,0.98569,0.99222,0.80007,0.7687,0.42941,1.08574,0.000982864,0.000982864,0.000982864
23,475.953,0.79846,0.51117,1.12334,0.98595,0.95112,0.99327,0.80339,0.74064,0.46434,1.05644,0.000981204,0.000981204,0.000981204
24,497.024,0.78648,0.51895,1.09618,0.97905,0.98669,0.99208,0.80681,0.75639,0.43844,1.08081,0.000979468,0.000979468,0.000979468
25,517.633,0.76767,0.51086,1.10429,0.97164,0.99448,0.99422,0.79517,0.79671,0.42596,1.10215,0.000977658,0.000977658,0.000977658
26,535.321,0.78705,0.5052,1.11038,0.97697,0.99533,0.99489,0.80324,0.78613,0.43424,1.07461,0.000975773,0.000975773,0.000975773
27,553.892,0.74161,0.4793,1.08848,0.98243,0.99892,0.99213,0.81419,0.74431,0.38726,1.04737,0.000973814,0.000973814,0.000973814
28,574.889,0.73372,0.46529,1.0748,0.99279,0.99901,0.995,0.76533,0.89082,0.44167,1.16306,0.00097178,0.00097178,0.00097178
29,593.394,0.75148,0.48901,1.08606,0.99059,1,0.995,0.78325,0.75984,0.40729,1.07068,0.000969673,0.000969673,0.000969673
30,611.551,0.73743,0.45791,1.08806,0.96287,0.97705,0.98977,0.77728,0.85223,0.46597,1.10885,0.000967493,0.000967493,0.000967493
31,629.966,0.74925,0.48401,1.08388,0.96314,0.96882,0.98469,0.80841,0.69834,0.39731,1.02091,0.000965239,0.000965239,0.000965239
32,649.356,0.71576,0.48102,1.07495,0.99325,0.99282,0.99472,0.80913,0.70908,0.38981,1.04756,0.000962913,0.000962913,0.000962913
33,667.933,0.74766,0.47229,1.0883,0.99068,1,0.995,0.82333,0.70034,0.37947,1.02837,0.000960515,0.000960515,0.000960515
34,687.389,0.72755,0.45056,1.07286,0.98401,0.9931,0.99461,0.79338,0.77196,0.37419,1.08372,0.000958044,0.000958044,0.000958044
35,707.15,0.72643,0.46118,1.08954,0.99203,1,0.995,0.79786,0.80375,0.4252,1.07966,0.000955502,0.000955502,0.000955502
36,725.779,0.71357,0.45931,1.05612,0.96764,0.99286,0.99377,0.82248,0.65594,0.39352,1.00426,0.000952889,0.000952889,0.000952889
37,744.239,0.7276,0.46238,1.09313,0.97405,0.99115,0.98776,0.81134,0.72221,0.36177,1.07512,0.000950206,0.000950206,0.000950206
38,762.348,0.73795,0.4609,1.0893,0.99008,1,0.99441,0.82033,0.71002,0.3806,1.03235,0.000947452,0.000947452,0.000947452
39,781.02,0.7345,0.45242,1.06866,0.96422,0.97597,0.98486,0.78139,0.79068,0.45951,1.08187,0.000944628,0.000944628,0.000944628
40,799.833,0.73703,0.45567,1.08495,0.97918,0.97057,0.98706,0.789,0.75762,0.39036,1.05912,0.000941734,0.000941734,0.000941734
41,818.115,0.74104,0.45125,1.08744,0.98713,0.99554,0.99482,0.79855,0.81277,0.39512,1.08317,0.000938772,0.000938772,0.000938772
42,836.666,0.7333,0.47705,1.08682,0.99371,0.9893,0.99449,0.81005,0.71286,0.34845,1.03439,0.000935741,0.000935741,0.000935741
43,854.409,0.7442,0.48808,1.08484,0.98317,0.99896,0.99128,0.78436,0.82041,0.39724,1.10181,0.000932642,0.000932642,0.000932642
44,872.866,0.73464,0.48682,1.08365,0.99713,0.99945,0.995,0.79368,0.79274,0.38492,1.07809,0.000929476,0.000929476,0.000929476
45,892.208,0.71075,0.46265,1.06957,0.99403,1,0.995,0.78553,0.82199,0.39128,1.08883,0.000926242,0.000926242,0.000926242
46,910.807,0.7125,0.47447,1.06172,0.97652,0.99719,0.99169,0.77766,0.83604,0.42265,1.07739,0.000922942,0.000922942,0.000922942
47,928.837,0.7312,0.4672,1.09205,0.99521,1,0.995,0.78338,0.83025,0.4009,1.09786,0.000919576,0.000919576,0.000919576
48,947.819,0.72423,0.44402,1.07408,0.9948,1,0.995,0.80688,0.747,0.37321,1.05484,0.000916145,0.000916145,0.000916145
49,966.081,0.69469,0.43668,1.06241,0.98974,0.99425,0.99375,0.80917,0.70962,0.37147,1.02814,0.000912649,0.000912649,0.000912649
50,984.716,0.71274,0.44544,1.06837,0.9883,0.9989,0.99427,0.81825,0.73928,0.36714,1.02913,0.000909088,0.000909088,0.000909088
51,1003.45,0.71165,0.4662,1.06544,0.99785,1,0.995,0.8081,0.74551,0.35618,1.03824,0.000905463,0.000905463,0.000905463
52,1021.6,0.69966,0.43468,1.05648,0.98703,1,0.995,0.78501,0.79972,0.35158,1.08997,0.000901776,0.000901776,0.000901776
53,1041.24,0.69917,0.44726,1.05736,0.99183,0.99262,0.9936,0.79482,0.77236,0.37266,1.08255,0.000898025,0.000898025,0.000898025
54,1059.68,0.69739,0.43969,1.05379,0.97212,0.99869,0.99195,0.78702,0.82859,0.39357,1.10634,0.000894213,0.000894213,0.000894213
55,1078.3,0.70244,0.46065,1.06387,0.99409,1,0.995,0.81444,0.71819,0.3482,1.03783,0.000890339,0.000890339,0.000890339
56,1096.45,0.69063,0.44772,1.05618,0.98529,0.99499,0.99482,0.82379,0.68034,0.36037,1.00985,0.000886404,0.000886404,0.000886404
57,1117.82,0.70823,0.45068,1.06474,0.99091,0.98794,0.99377,0.81407,0.74799,0.36949,1.05648,0.000882409,0.000882409,0.000882409
58,1136.17,0.66885,0.42477,1.04395,0.99685,1,0.995,0.79727,0.82959,0.37091,1.09854,0.000878354,0.000878354,0.000878354
59,1154.25,0.7192,0.45145,1.08222,0.99318,1,0.995,0.79189,0.80739,0.36629,1.08638,0.000874241,0.000874241,0.000874241
60,1171.81,0.69165,0.43916,1.04817,0.99305,1,0.995,0.79288,0.82366,0.36636,1.10748,0.000870069,0.000870069,0.000870069
61,1190.05,0.67191,0.42822,1.04465,0.99642,1,0.995,0.80109,0.78761,0.37591,1.04307,0.000865839,0.000865839,0.000865839
62,1208.85,0.68823,0.42007,1.0548,0.99581,1,0.995,0.81601,0.75411,0.3612,1.05101,0.000861553,0.000861553,0.000861553
63,1227.34,0.67455,0.40837,1.05253,0.95593,0.98499,0.99203,0.82302,0.71173,0.37012,1.01558,0.00085721,0.00085721,0.00085721
64,1245.64,0.69968,0.41516,1.05498,0.99163,0.99425,0.99379,0.81728,0.74933,0.37806,1.03678,0.000852812,0.000852812,0.000852812
