epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7462,1.13379,6.2474,0.01726,0.18154,0.3133,0.12167,0.06938,1.51957,27.6326,0.02852,0.000325203,0.000325203,0.0678049
2,44.8891,1.10914,1.15925,0.01665,0.61263,0.65897,0.75181,0.49966,1.23966,1.3054,0.02501,0.000658511,0.000658511,0.0348049
3,70.9013,1.06722,0.86586,0.01524,0.76553,0.79983,0.88967,0.65365,1.0111,0.97054,0.02134,0.000991715,0.000991715,0.00180472
4,93.6709,1.03877,0.76264,0.01563,0.86889,0.91129,0.96153,0.61783,1.29647,0.59087,0.03057,0.000999648,0.000999648,0.000999648
5,115.502,1.00167,0.72534,0.01431,0.72316,0.74322,0.80171,0.54004,1.16529,1.00513,0.02423,0.000999375,0.000999375,0.000999375
6,136.101,1.01844,0.71993,0.01587,0.88736,0.89874,0.97096,0.73707,0.93266,0.56884,0.019,0.000999023,0.000999023,0.000999023
7,160.4,0.99487,0.65353,0.01471,0.92642,0.82724,0.9074,0.68475,0.95385,0.56069,0.01789,0.000998594,0.000998594,0.000998594
8,181.086,0.95515,0.61819,0.014,0.93832,0.88848,0.96721,0.72607,0.97337,0.48891,0.01897,0.000998086,0.000998086,0.000998086
9,203.364,0.93863,0.63677,0.01391,0.93253,0.94973,0.98181,0.72601,0.98702,0.42529,0.01877,0.000997501,0.000997501,0.000997501
10,224.134,0.96452,0.57497,0.01404,0.92502,0.90934,0.98078,0.72192,0.98504,0.47829,0.01846,0.000996838,0.000996838,0.000996838
11,245.642,0.95609,0.5817,0.01406,0.94962,0.89726,0.97596,0.73356,0.93538,0.43183,0.0191,0.000996097,0.000996097,0.000996097
12,267.105,0.93599,0.53127,0.014,0.94652,0.93117,0.98223,0.72896,0.96722,0.39716,0.01842,0.000995278,0.000995278,0.000995278
13,287.363,0.95811,0.57574,0.01437,0.9378,0.9393,0.98158,0.76592,0.85105,0.39838,0.01533,0.000994383,0.000994383,0.000994383
14,311.784,0.93225,0.53195,0.01386,0.93409,0.96698,0.98537,0.70232,1.08324,0.39121,0.02068,0.00099341,0.00099341,0.00099341
15,332.423,0.91815,0.5114,0.01328,0.9372,0.98404,0.98966,0.78434,0.8057,0.30914,0.01474,0.000992359,0.000992359,0.000992359
16,356.632,0.9395,0.50245,0.01368,0.96199,0.94223,0.9803,0.77671,0.81003,0.32792,0.01411,0.000991232,0.000991232,0.000991232
17,377.178,0.87804,0.47553,0.01292,0.9619,0.92328,0.9858,0.71985,0.96802,0.43172,0.01927,0.000990028,0.000990028,0.000990028
18,399.585,0.8959,0.50014,0.01303,0.95628,0.97881,0.99089,0.7529,0.90854,0.3172,0.01687,0.000988748,0.000988748,0.000988748
19,420.392,0.89598,0.4911,0.01331,0.93769,0.98602,0.98736,0.74955,0.94704,0.35484,0.01833,0.000987391,0.000987391,0.000987391
20,442.373,0.94865,0.53188,0.01438,0.95253,0.967,0.98714,0.76601,0.8724,0.32164,0.017,0.000985958,0.000985958,0.000985958
21,463.112,0.87109,0.45649,0.0123,0.96414,0.96816,0.99096,0.77892,0.77946,0.28631,0.01549,0.000984449,0.000984449,0.000984449
22,483.819,0.88976,0.5041,0.01303,0.96859,0.97924,0.993,0.78514,0.84461,0.28729,0.01563,0.000982864,0.000982864,0.000982864
23,507.999,0.88132,0.46069,0.01282,0.95691,0.93364,0.97832,0.75723,0.90537,0.34969,0.01695,0.000981204,0.000981204,0.000981204
24,528.634,0.8891,0.49008,0.01297,0.97687,0.95914,0.99151,0.78903,0.81148,0.29267,0.01533,0.000979468,0.000979468,0.000979468
25,552.783,0.82409,0.46943,0.0119,0.97802,0.9571,0.99224,0.74757,0.93036,0.3371,0.01843,0.000977658,0.000977658,0.000977658
26,573.03,0.8496,0.45952,0.01246,0.92751,0.95422,0.97954,0.7788,0.83813,0.32247,0.01483,0.000975773,0.000975773,0.000975773
27,594.564,0.83327,0.47493,0.01216,0.96801,0.97759,0.99157,0.78169,0.822,0.28623,0.01617,0.000973814,0.000973814,0.000973814
28,614.613,0.80217,0.42237,0.01177,0.96267,0.96201,0.98541,0.76524,0.82505,0.30294,0.01686,0.00097178,0.00097178,0.00097178
29,635.961,0.84726,0.44116,0.01181,0.96435,0.96472,0.99072,0.73868,0.96758,0.40222,0.01946,0.000969673,0.000969673,0.000969673
30,658.139,0.8552,0.45427,0.01265,0.98868,0.95208,0.99229,0.75242,0.95185,0.32559,0.01843,0.000967493,0.000967493,0.000967493
31,679.386,0.83336,0.48092,0.01177,0.97448,0.96527,0.99115,0.75754,0.87942,0.28715,0.01759,0.000965239,0.000965239,0.000965239
32,701.888,0.81968,0.41456,0.01173,0.9398,0.97758,0.98637,0.80171,0.76661,0.28884,0.01475,0.000962913,0.000962913,0.000962913
33,724.366,0.84108,0.42086,0.01202,0.94367,0.96429,0.98619,0.80729,0.72182,0.28501,0.01293,0.000960515,0.000960515,0.000960515
34,748.39,0.80546,0.43112,0.01145,0.96164,0.9276,0.98761,0.79761,0.7882,0.30733,0.01417,0.000958044,0.000958044,0.000958044
35,768.965,0.82022,0.46023,0.01259,0.98167,0.9395,0.98806,0.76159,0.88646,0.31487,0.01751,0.000955502,0.000955502,0.000955502
36,791.253,0.79954,0.42956,0.01146,0.9687,0.96999,0.99278,0.80806,0.78237,0.26029,0.01474,0.000952889,0.000952889,0.000952889
37,813.691,0.82007,0.42669,0.01192,0.96819,0.97239,0.98828,0.80103,0.77951,0.28645,0.01385,0.000950206,0.000950206,0.000950206
38,835.67,0.83012,0.39725,0.01236,0.97569,0.97878,0.98928,0.82246,0.70379,0.25433,0.01269,0.000947452,0.000947452,0.000947452
39,858.228,0.81635,0.40505,0.01209,0.9577,0.96161,0.98398,0.78536,0.81637,0.32927,0.01565,0.000944628,0.000944628,0.000944628
