epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,549.581,1.02042,0.66089,1.29165,0.98802,0.99815,0.995,0.73942,0.94455,0.4514,1.17664,0.000932642,0.000932642,0.000932642
44,562.157,0.96812,0.6232,1.26837,0.97963,1,0.995,0.70764,1.07508,0.47382,1.25293,0.000929476,0.000929476,0.000929476
45,578.955,1.01176,0.67455,1.28759,0.996,0.99811,0.995,0.69662,1.05922,0.48378,1.26059,0.000926242,0.000926242,0.000926242
46,591.524,1.00795,0.64039,1.28001,0.98354,1,0.995,0.69448,1.11527,0.46072,1.29005,0.000922942,0.000922942,0.000922942
47,604.118,0.98362,0.64401,1.26688,0.96573,0.98413,0.9922,0.73311,0.91997,0.45965,1.18676,0.000919576,0.000919576,0.000919576
48,616.887,0.97771,0.61187,1.25714,0.97603,0.99628,0.99484,0.708,1.06875,0.4945,1.28407,0.000916145,0.000916145,0.000916145
49,629.459,0.96552,0.5913,1.2638,0.98319,0.99834,0.99495,0.76434,0.87195,0.42325,1.15526,0.000912649,0.000912649,0.000912649
50,642.071,0.9376,0.6115,1.24666,0.99332,1,0.995,0.7812,0.80212,0.3808,1.10515,0.000909088,0.000909088,0.000909088
51,655.002,0.97726,0.60655,1.28511,0.98669,0.99909,0.995,0.65578,1.21152,0.45664,1.4123,0.000905463,0.000905463,0.000905463
52,667.624,0.94467,0.61772,1.25082,0.99354,1,0.995,0.74991,0.89961,0.39189,1.137,0.000901776,0.000901776,0.000901776
53,680.202,0.9606,0.58864,1.25072,0.99231,0.9951,0.995,0.75953,0.86482,0.40465,1.14126,0.000898025,0.000898025,0.000898025
54,692.772,0.97573,0.57439,1.24316,0.99409,1,0.995,0.74653,0.93908,0.40809,1.18352,0.000894213,0.000894213,0.000894213
55,705.317,0.95309,0.58556,1.23789,0.99419,1,0.995,0.7541,0.94488,0.40377,1.17078,0.000890339,0.000890339,0.000890339
56,717.892,0.96034,0.59344,1.25923,0.99744,1,0.995,0.70818,1.09984,0.43669,1.2613,0.000886404,0.000886404,0.000886404
