epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4972,1.31504,2.24958,1.64102,0.7866,0.16834,0.21703,0.13741,1.84435,3.91427,2.44185,0.00031,0.00031,0.06931
2,46.9097,1.25506,1.0919,1.579,0.33621,0.40283,0.23296,0.1207,2.6463,30.7947,5.44882,0.000629975,0.000629975,0.03763
3,72.29,1.31446,1.12316,1.59722,0.67479,0.4522,0.5182,0.24944,1.42311,13.1077,2.43606,0.000949851,0.000949851,0.00594985
4,99.3383,1.26631,1.11579,1.59186,0.26025,0.60393,0.4515,0.20626,1.45903,9.35805,2.14801,0.000999648,0.000999648,0.000999648
5,130.635,1.26003,0.99585,1.53774,0.62652,0.63915,0.66498,0.34585,1.61245,6.9113,2.18151,0.000999375,0.000999375,0.000999375
6,165.221,1.27451,1.00197,1.54749,0.68729,0.78197,0.84582,0.49196,1.22075,2.96501,1.66693,0.000999023,0.000999023,0.000999023
7,191.948,1.20342,0.94997,1.50603,0.75038,0.88648,0.8896,0.54382,1.30433,1.93089,1.76706,0.000998594,0.000998594,0.000998594
8,228.47,1.21836,0.94217,1.51506,0.68328,0.87089,0.81458,0.41963,1.72406,1.56617,2.05554,0.000998086,0.000998086,0.000998086
9,260.393,1.1774,0.94579,1.48349,0.68232,0.82045,0.75329,0.4409,1.32906,1.80728,1.69728,0.000997501,0.000997501,0.000997501
10,286.875,1.15832,0.91994,1.46212,0.87718,0.73336,0.91304,0.61062,1.09215,1.05409,1.42317,0.000996838,0.000996838,0.000996838
11,319.508,1.1432,0.8729,1.43911,0.86187,0.94082,0.97178,0.56784,1.22578,1.47251,1.49722,0.000996097,0.000996097,0.000996097
12,347.067,1.15587,0.9021,1.4539,0.94015,0.94143,0.9735,0.60307,1.25432,0.84005,1.53677,0.000995278,0.000995278,0.000995278
13,374.285,1.15722,0.87793,1.43894,0.98597,0.94232,0.98941,0.68292,1.08409,0.68645,1.37696,0.000994383,0.000994383,0.000994383
14,405.551,1.16988,0.81573,1.45086,0.84555,0.83977,0.90142,0.52026,1.42392,1.28289,1.67787,0.00099341,0.00099341,0.00099341
15,431.433,1.20441,0.86125,1.48643,0.98589,1,0.99495,0.71283,0.99887,0.60004,1.28705,0.000992359,0.000992359,0.000992359
16,457.963,1.15519,0.85749,1.46968,0.99202,0.97834,0.99345,0.64343,1.12176,0.73128,1.40622,0.000991232,0.000991232,0.000991232
17,490.484,1.15302,0.82731,1.43554,0.95955,0.96357,0.98828,0.68429,1.13924,0.8102,1.40365,0.000990028,0.000990028,0.000990028
18,516.985,1.0894,0.78516,1.39072,0.96348,0.85537,0.91407,0.5943,1.12655,0.69233,1.37199,0.000988748,0.000988748,0.000988748
19,543.174,1.11507,0.79958,1.41441,0.96578,0.99074,0.98983,0.64387,1.27167,0.57175,1.47524,0.000987391,0.000987391,0.000987391
20,570.288,1.08641,0.75889,1.41208,0.96457,0.97541,0.98468,0.65782,1.17735,0.64711,1.39754,0.000985958,0.000985958,0.000985958
21,597.09,1.07653,0.72681,1.40597,0.99417,0.98303,0.99045,0.62086,1.26446,0.5897,1.46841,0.000984449,0.000984449,0.000984449
22,623.163,1.07732,0.75349,1.36814,0.90247,0.95564,0.97907,0.66571,1.09883,0.61213,1.36315,0.000982864,0.000982864,0.000982864
23,649.384,1.06725,0.73571,1.38798,0.93316,0.95373,0.992,0.69021,1.11864,0.63471,1.38365,0.000981204,0.000981204,0.000981204
24,676.093,1.0802,0.76263,1.37714,0.99137,0.98109,0.99412,0.68919,1.08736,0.59333,1.33076,0.000979468,0.000979468,0.000979468
25,702.451,1.1211,0.78758,1.3986,0.98551,0.98718,0.98413,0.65745,1.10259,0.57153,1.37513,0.000977658,0.000977658,0.000977658
26,728.273,1.07934,0.72208,1.36368,0.96108,0.97927,0.99323,0.6844,1.06784,0.58585,1.36309,0.000975773,0.000975773,0.000975773
27,754.845,1.07658,0.69517,1.38607,0.98448,1,0.99482,0.68557,1.12273,0.5391,1.3435,0.000973814,0.000973814,0.000973814
28,781.539,1.07135,0.70766,1.37563,0.97693,1,0.995,0.6841,1.09877,0.5341,1.34536,0.00097178,0.00097178,0.00097178
29,807.567,1.03298,0.66989,1.35776,0.94015,1,0.99279,0.70087,1.01382,0.52658,1.27666,0.000969673,0.000969673,0.000969673
30,834.126,1.0621,0.69718,1.36822,0.98581,0.9929,0.995,0.70222,1.06004,0.51487,1.29337,0.000967493,0.000967493,0.000967493
31,860.472,1.06571,0.67849,1.38387,0.93637,1,0.98739,0.56652,1.40782,0.74248,1.6839,0.000965239,0.000965239,0.000965239
32,886.561,1.06197,0.68942,1.37203,0.9545,0.99204,0.99286,0.63628,1.27892,0.57589,1.48493,0.000962913,0.000962913,0.000962913
33,912.642,1.05189,0.67198,1.36371,0.98796,0.99623,0.995,0.66547,1.12811,0.55444,1.36789,0.000960515,0.000960515,0.000960515
34,939.514,1.03253,0.67646,1.36077,0.99002,0.9992,0.995,0.6849,1.09653,0.49827,1.3077,0.000958044,0.000958044,0.000958044
35,966.31,1.0041,0.65613,1.33574,0.98527,0.98718,0.99397,0.67544,1.08426,0.49076,1.32401,0.000955502,0.000955502,0.000955502
36,991.849,1.01654,0.65767,1.35866,0.99124,1,0.995,0.62294,1.23585,0.52364,1.49094,0.000952889,0.000952889,0.000952889
37,1018.35,1.00847,0.64718,1.34242,0.96172,1,0.99379,0.6905,1.06306,0.48858,1.31272,0.000950206,0.000950206,0.000950206
38,1044.65,1.03851,0.67155,1.35653,0.96643,0.99074,0.99465,0.69093,1.0276,0.47343,1.30219,0.000947452,0.000947452,0.000947452
39,1071.46,1.03592,0.65234,1.34901,0.99175,0.98896,0.99482,0.69406,1.03706,0.47152,1.28844,0.000944628,0.000944628,0.000944628
40,1097.33,0.98116,0.6376,1.3176,0.97579,1,0.99,0.64599,1.13164,0.47237,1.40207,0.000941734,0.000941734,0.000941734
41,1124.12,1.03525,0.66833,1.34214,0.96854,0.993,0.995,0.67649,1.16114,0.49364,1.35778,0.000938772,0.000938772,0.000938772
42,1150.08,1.00893,0.65624,1.34869,0.99578,0.98914,0.995,0.72313,0.98164,0.50344,1.26012,0.000935741,0.000935741,0.000935741
43,1177.35,0.97896,0.63047,1.30157,0.99605,0.99847,0.995,0.75785,0.88544,0.43275,1.18881,0.000932642,0.000932642,0.000932642
44,1214.52,1.01326,0.63605,1.31368,0.99785,1,0.995,0.72963,0.98043,0.45651,1.22225,0.000929476,0.000929476,0.000929476
45,1246.34,0.98915,0.60746,1.33234,0.98145,0.99518,0.99392,0.6498,1.19963,0.51717,1.40204,0.000926242,0.000926242,0.000926242
46,1272.75,0.99402,0.63572,1.31539,0.96516,1,0.99231,0.66775,1.12641,0.48623,1.35262,0.000922942,0.000922942,0.000922942
